"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.12.2024","119,74","117,18","120,90","116,60","96,36M","3,90%"
"20.12.2024","115,24","107,16","116,42","106,88","155,01M","7,54%"
"19.12.2024","107,16","108,00","111,16","106,00","164,46M","-0,82%"
"18.12.2024","108,05","107,46","108,57","105,22","79,06M","0,74%"
"17.12.2024","107,26","108,72","109,47","106,10","67,65M","-1,33%"
"16.12.2024","108,71","112,69","112,80","108,11","78,16M","-3,68%"
"13.12.2024","112,86","113,00","114,20","112,46","34,35M","-0,21%"
"12.12.2024","113,10","115,16","115,40","113,00","40,24M","-1,79%"
"11.12.2024","115,16","114,60","116,00","113,75","47,57M","0,40%"
"10.12.2024","114,70","117,40","117,47","114,50","38,67M","-2,02%"
"09.12.2024","117,06","115,76","117,86","115,00","41,85M","1,80%"
"06.12.2024","114,99","117,17","117,32","113,90","48,05M","-1,41%"
"05.12.2024","116,63","115,80","117,46","113,00","94,83M","1,15%"
"04.12.2024","115,30","121,50","123,46","114,13","87,37M","-5,09%"
"03.12.2024","121,48","123,90","124,00","120,71","34,81M","-1,95%"
"02.12.2024","123,90","125,00","125,45","123,51","42,71M","-0,31%"
"29.11.2024","124,29","120,29","124,90","119,60","73,15M","3,33%"
"28.11.2024","120,29","120,00","121,50","118,25","54,43M","0,74%"
"27.11.2024","119,41","115,00","119,81","112,34","93,16M","4,29%"
"26.11.2024","114,50","117,25","119,43","114,01","58,96M","-2,50%"
"25.11.2024","117,44","119,50","120,45","116,06","53,83M","-1,70%"
"22.11.2024","119,47","124,25","124,32","118,40","72,09M","-3,73%"
"21.11.2024","124,10","122,20","124,35","119,62","77,48M","1,81%"
"20.11.2024","121,89","126,00","126,78","120,36","61,76M","-2,87%"
"19.11.2024","125,49","128,98","129,38","123,80","59,16M","-2,81%"
"18.11.2024","129,12","129,50","130,73","128,75","60,41M","-3,19%"
"15.11.2024","133,37","131,61","134,00","131,02","48,15M","1,34%"
"14.11.2024","131,61","132,02","133,34","130,67","40,54M","-0,75%"
"13.11.2024","132,60","134,90","136,65","132,27","32,56M","-1,89%"
"12.11.2024","135,16","137,82","137,82","134,64","33,08M","-2,14%"
"11.11.2024","138,12","137,20","138,33","135,24","45,79M","1,63%"
"08.11.2024","135,90","135,80","137,00","133,64","64,52M","0,28%"
"07.11.2024","135,52","131,85","135,54","129,65","52,61M","2,73%"
"06.11.2024","131,92","133,11","136,59","130,40","109,22M","2,45%"
"05.11.2024","128,77","129,00","129,37","127,37","23,07M","0,05%"
"02.11.2024","128,70","125,74","129,30","125,01","32,52M","2,47%"
"01.11.2024","125,60","123,80","125,67","122,71","24,66M","1,75%"
"31.10.2024","123,44","123,16","124,94","122,25","34,78M","-0,29%"
"30.10.2024","123,80","126,16","127,20","123,52","35,26M","-1,72%"
"29.10.2024","125,97","125,12","126,96","121,85","67,27M","0,88%"
"28.10.2024","124,87","131,98","132,26","123,50","80,46M","-6,11%"
"25.10.2024","133,00","134,15","136,50","132,00","55,16M","-0,84%"
"24.10.2024","134,12","134,94","135,20","132,15","28,82M","-0,47%"
"23.10.2024","134,76","136,00","137,50","134,13","35,90M","-1,09%"
"22.10.2024","136,24","136,12","140,08","135,51","55,32M","0,20%"
"21.10.2024","135,97","135,68","136,60","135,11","19,26M","0,22%"
"18.10.2024","135,67","136,27","137,30","134,80","26,45M","-0,28%"
"17.10.2024","136,05","137,49","138,29","134,80","49,33M","-0,87%"
"16.10.2024","137,24","134,03","138,80","133,96","78,15M","2,44%"
"15.10.2024","133,97","131,85","134,40","131,43","28,31M","1,55%"
"14.10.2024","131,92","131,50","133,35","130,51","34,77M","0,08%"
"11.10.2024","131,82","132,94","132,94","131,52","21,59M","-0,66%"
"10.10.2024","132,69","132,50","133,49","132,15","17,59M","0,14%"
"09.10.2024","132,51","133,77","133,92","131,50","19,47M","-0,99%"
"08.10.2024","133,83","133,11","134,88","132,90","32,05M","0,25%"
"07.10.2024","133,50","133,32","133,66","131,60","25,46M","0,14%"
"04.10.2024","133,32","134,06","134,49","132,03","28,80M","-0,41%"
"03.10.2024","133,87","131,60","134,16","130,32","57,36M","1,32%"
"02.10.2024","132,12","136,22","137,16","131,70","66,82M","-3,00%"
"01.10.2024","136,21","137,90","139,20","134,44","98,56M","-1,43%"
"30.09.2024","138,19","140,50","144,20","136,82","237,07M","-1,64%"
